analysis,gene_type,cell_type,value
Logistic Regression,Basophil Prog Genes,Neutrophil,0.74
Logistic Regression,Basophil Prog Genes,Neutrophil,0.72
Logistic Regression,Basophil Prog Genes,Neutrophil,0.75
Logistic Regression,Basophil Prog Genes,Neutrophil,0.69
Logistic Regression,Basophil Prog Genes,Neutrophil,0.76
Logistic Regression,Basophil Prog Genes,Neutrophil,0.7
Logistic Regression,Basophil Prog Genes,Neutrophil,0.68
Logistic Regression,Basophil Prog Genes,Neutrophil,0.7
Logistic Regression,Basophil Prog Genes,Neutrophil,0.72
Logistic Regression,Basophil Prog Genes,Neutrophil,0.66
Logistic Regression,Basophil Prog Genes,Neutrophil,0.7
Logistic Regression,Basophil Prog Genes,Neutrophil,0.7
Logistic Regression,Basophil Prog Genes,Neutrophil,0.69
Logistic Regression,Basophil Prog Genes,Neutrophil,0.73
Logistic Regression,Basophil Prog Genes,Neutrophil,0.64
Logistic Regression,Basophil Prog Genes,Neutrophil,0.7
Logistic Regression,Basophil Prog Genes,Neutrophil,0.76
Logistic Regression,Basophil Prog Genes,Neutrophil,0.73
Logistic Regression,Basophil Prog Genes,Neutrophil,0.72
Logistic Regression,Basophil Prog Genes,Neutrophil,0.69
Logistic Regression,Basophil Prog Genes,Neutrophil,0.71
Logistic Regression,Basophil Prog Genes,Neutrophil,0.68
Logistic Regression,Basophil Prog Genes,Neutrophil,0.75
Logistic Regression,Basophil Prog Genes,Neutrophil,0.72
Logistic Regression,Basophil Prog Genes,Neutrophil,0.64
Logistic Regression,Basophil Prog Genes,Neutrophil,0.71
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.74
Logistic Regression,B Cell Prog Genes,Basophil,0.66
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.59
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.69
Logistic Regression,B Cell Prog Genes,Basophil,0.71
Logistic Regression,B Cell Prog Genes,Basophil,0.69
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.7
Logistic Regression,B Cell Prog Genes,Basophil,0.57
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.66
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.55
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.54
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.69
Logistic Regression,B Cell Prog Genes,Basophil,0.69
Logistic Regression,B Cell Prog Genes,Basophil,0.55
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.72
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.71
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.54
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.55
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.57
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.69
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.58
Logistic Regression,B Cell Prog Genes,Basophil,0.51
Logistic Regression,B Cell Prog Genes,Basophil,0.58
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.57
Logistic Regression,B Cell Prog Genes,Basophil,0.72
Logistic Regression,B Cell Prog Genes,Basophil,0.66
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.66
Logistic Regression,B Cell Prog Genes,Basophil,0.56
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.66
Logistic Regression,B Cell Prog Genes,Basophil,0.55
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.58
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.58
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.72
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.55
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.53
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.59
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.66
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.59
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.58
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.73
Logistic Regression,B Cell Prog Genes,Basophil,0.54
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.52
Logistic Regression,B Cell Prog Genes,Basophil,0.75
Logistic Regression,B Cell Prog Genes,Basophil,0.66
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.57
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.52
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.56
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.58
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.58
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.59
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.73
Logistic Regression,B Cell Prog Genes,Basophil,0.49
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.57
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.59
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.5
Logistic Regression,B Cell Prog Genes,Basophil,0.53
Logistic Regression,B Cell Prog Genes,Basophil,0.7
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.69
Logistic Regression,B Cell Prog Genes,Basophil,0.55
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.63
Logistic Regression,B Cell Prog Genes,Basophil,0.57
Logistic Regression,B Cell Prog Genes,Basophil,0.71
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.64
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.45
Logistic Regression,B Cell Prog Genes,Basophil,0.7
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.45
Logistic Regression,B Cell Prog Genes,Basophil,0.66
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.67
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.48
Logistic Regression,B Cell Prog Genes,Basophil,0.55
Logistic Regression,B Cell Prog Genes,Basophil,0.65
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.68
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.57
Logistic Regression,B Cell Prog Genes,Basophil,0.61
Logistic Regression,B Cell Prog Genes,Basophil,0.6
Logistic Regression,B Cell Prog Genes,Basophil,0.59
Logistic Regression,B Cell Prog Genes,Basophil,0.72
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.57
Logistic Regression,B Cell Prog Genes,Basophil,0.62
Logistic Regression,B Cell Prog Genes,Basophil,0.52
Logistic Regression,B Cell Prog Genes,Basophil,0.54
